TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals,Total_Branches,Predicates,LineCoverage,BranchCoverage,OutputCoverage,BranchCoverageBitString,Size,Length,MutationScore
org.jfree.chart.ChartColor,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8541666666666666,205,204,0,0,1.0,1.0,0.3333333333333333,11,3,3,0.1518324607329843
org.jfree.chart.ChartFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8692251252494694,2396,2009,190,95,0.9944029850746269,0.9255813953488372,0.44321329639889195,11111111111111111111111100111111111111111111111011011110111101101101111111111111111111111110110111101111011011011111111111111111111110111111111111111111111111111011111111111111111111111111111111111111111111111111111,147,493,0.11143131604226705
org.jfree.chart.ChartFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8678130215167079,2358,1963,170,85,0.9942528735632183,0.92,0.44321329639889195,11111111111111111111111111111001111111111111111111011011110111101101101111111111111111111111110110111101111011011011111111111111111111110111111111111111111111111111011111111111111111111111111111111111,138,439,0.12262357414448669
org.jfree.chart.ChartFactory,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8723922747938898,2358,1956,172,86,0.9922630560928434,0.9207920792079208,0.44321329639889195,1111111111111111111111111111100111111111111111111101101111011110110110111111111111111111111111011011110111101101101111111111111111111111111111111111111111111111011111111111111111111111111111111111111101,133,429,0.12606635071090047
org.jfree.chart.ChartHints,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6474264705882353,56,2,16,8,0.0,0.058823529411764705,1.0,10000000000000000,2,4,0.3
org.jfree.chart.axis.Axis,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7225258343194774,1950,1412,168,84,0.839835728952772,0.6912442396313364,0.3409090909090909,1111111111110111111111011111111111111111111111111111111111111111111111111111110111111110111101101111111111111111101111101111101111101111011111101101111110111010000101010010000000000000000000000000000000000000000000011,117,459,0.2943089430894309
org.jfree.chart.axis.Axis,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.707960652781187,1965,1345,168,84,0.6713995943204868,0.7339449541284404,0.4053030303030303,11111111111101111111110111111111111111111111111111111011111111111111011111111111010111110101111101101111111111111101111101111101111101111110110100000000000010010000101010111010101010111010101010101010101010101010101011,115,348,0.3520900321543408
org.jfree.chart.axis.Axis,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6468114982273127,1897,1189,158,79,0.6596638655462185,0.6346153846153846,0.3068181818181818,1111111111110111111111011111111111111111111101111111101111011111111111111111111011111101101111111110111101111101111101111101111110111101000000000010111001101010010000000000000000000000000000000000000000000011,104,320,0.2707275803722504
org.jfree.chart.axis.AxisCollection,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8791666666666667,90,81,10,5,1.0,0.9333333333333333,0.6666666666666666,111111111111101,9,34,0.0
org.jfree.chart.axis.AxisSpace,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9117391500610503,735,718,48,24,0.9905660377358491,0.9836065573770492,0.8389830508474576,1111111111111111111011111111111111111111111111111111111111111,66,234,0.5641025641025641
org.jfree.chart.entity.ChartEntity,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8863339051305635,435,423,40,20,0.9381443298969072,0.9629629629629629,0.6666666666666666,110101111111111111111111111111111111111111111111111111,33,122,0.7471264367816092
